City Name,Country,Region,Latitude,Longitude,Land Cover Dates T1,Land Cover Dates T2,Land Cover Dates T3,Urban Extent Population T1,Urban Extent Population T2,Urban Extent Population T3,Built-up Area Total  (ha) T1,Built-up Area Total  (ha) T2,Built-up Area Total  (ha) T3,Urban Built-up Area (ha) T1,Urban Built-up Area (ha) T2,Urban Built-up Area (ha) T3,Surburban Built-up Area (ha) T1,Surburban Built-up Area (ha) T2,Surburban Built-up Area (ha) T3,Rural Built-up Area  (ha) T1,Rural Built-up Area  (ha) T2,Rural Built-up Area  (ha) T3,Urbanized Open Space  (ha) T1,Urbanized Open Space  (ha) T2,Urbanized Open Space  (ha) T3,Urban Extent (ha) T1,Urban Extent (ha) T2,Urban Extent (ha) T3
Toledo,United States,Land-Rich Developed Countries,41.655,-83.602,8/1/90,9/1/00,6/1/14,402895,458978,489974,12964,21486,33057,6219,13602,23668,6355,7383,8744,389,501,645,13777,17951,22984,26740,39436,56042
Tyumen,Russia,Europe and Japan,57.16,65.551,4/1/90,8/1/99,9/1/11,419522,464410,557794,6670,9979,13171,5087,8382,10296,1493,1481,2656,90,116,219,3708,3647,6029,10378,13627,19200
Ulaanbaatar,Mongolia,East Asia and the Pacific,47.93,106.889,9/1/90,8/1/01,6/1/14,426960,633616,1070573,7269,9283,15493,6350,8401,13567,864,830,1790,55,51,137,2595,2611,4558,9863,11894,20051
Valledupar,Colombia,Latin America and the Caribbean,10.464,-73.261,12/1/89,10/1/01,2/1/11,171357,263543,392935,1516,2236,2688,1287,1924,2336,203,288,333,27,25,19,632,757,937,2149,2994,3625
Victoria,Canada,Land-Rich Developed Countries,48.456,-123.401,8/1/90,7/1/00,9/1/13,224424,275203,318267,7219,11613,13351,4916,8680,10150,2149,2767,3009,154,166,193,4989,6607,7295,12208,18220,20646
Vienna,Austria,Europe and Japan,48.124,16.346,6/1/91,9/1/00,8/1/13,1551706,1760685,2025195,17226,30978,36563,11277,24165,28833,5599,6350,7225,351,462,505,13294,15720,16785,30521,46697,53347
Vijayawada,India,South and Central Asia,16.515,80.641,11/1/91,10/1/00,6/1/14,824159,926989,1210498,2724,3874,4664,2040,3250,3662,647,581,927,37,42,75,1563,1532,1935,4287,5405,6599
Vinh Long,Vietnam,Southeast Asia,10.25,105.967,4/1/89,11/1/00,1/1/14,22433,67416,222220,54,373,3794,0,119,2324,49,231,1372,5,23,97,63,313,2689,117,687,6483
Warsaw,Poland,Europe and Japan,52.234,21.024,5/1/92,8/1/00,9/1/13,1833480,2128104,2298450,21130,33864,47779,14189,24409,37142,6460,8834,9904,481,621,734,15497,22409,26500,36627,56274,74279
"Wuhan, Hubei",China,East Asia and the Pacific,30.576,114.295,9/1/90,9/1/00,9/1/13,2112069,4674398,8174063,17460,28916,102833,11360,21782,63008,5711,6653,36491,388,481,3334,12887,15357,80891,30347,44273,183723
"Xingping, Shaanxi",China,East Asia and the Pacific,34.308,108.463,7/1/92,6/1/00,6/1/13,39458,68813,193390,271,503,2728,29,266,1289,217,201,1328,25,36,111,386,465,2794,657,968,5522
"Xucheng, Jiangsu",China,East Asia and the Pacific,33.004,118.507,10/1/90,9/1/00,8/1/13,11599,60225,176753,31,383,3480,0,102,2420,25,265,988,6,16,72,45,422,2572,76,805,6052
Yamaguchi,Japan,Europe and Japan,34.155,131.458,9/1/90,3/1/99,5/1/14,115170,241088,244194,5214,10865,11841,2705,6415,7377,2351,4120,4158,158,331,306,4430,8190,8165,9644,19056,20007
"Yanggu, Shandong",China,East Asia and the Pacific,36.116,115.786,9/1/90,9/1/00,4/1/14,31068,53923,221306,450,1151,6498,321,666,2193,115,414,3964,14,71,341,279,862,6710,729,2013,13207
"Yiyang, Hunan",China,East Asia and the Pacific,28.587,112.356,7/1/94,9/1/99,10/1/13,274739,315559,412685,1751,3988,9951,1089,2580,6473,602,1289,3197,61,119,282,1326,2639,7353,3077,6627,17304
"Yucheng, Zhejiang",China,East Asia and the Pacific,28.125,121.247,12/1/90,1/1/00,12/1/14,60050,142977,485305,1158,2888,9112,554,1523,6861,557,1282,2116,47,83,134,876,2289,4567,2034,5177,13679
"Yulin, Guangxi",China,East Asia and the Pacific,22.611,110.139,10/1/91,10/1/00,1/1/09,250302,345816,633381,1287,3871,10753,794,2505,5833,448,1265,4445,45,102,474,808,2101,7340,2095,5972,18093
"Zhengzhou, Henan",China,East Asia and the Pacific,34.756,113.637,10/1/92,8/1/00,9/1/15,1256956,2012209,7156619,12742,25588,137261,10334,20883,96929,2206,4311,37326,202,394,3006,5098,7096,73085,17840,32684,210346
"Zhuji, Zhejiang",China,East Asia and the Pacific,29.725,120.237,6/1/90,5/1/00,4/1/13,367695,695581,979670,11970,29130,43826,1126,7815,19667,9969,19820,22592,875,1495,1567,17200,35217,45343,29170,64347,89168
"Zunyi, Guizhou",China,East Asia and the Pacific,27.696,106.925,6/1/88,4/1/01,12/1/13,24968,501484,534107,89,1788,5569,22,1329,4204,62,435,1253,6,24,112,98,1128,3105,187,2916,8674
Zwolle,Netherlands,Europe and Japan,52.513,6.09,4/1/90,5/1/00,3/1/14,79950,92139,108237,2253,2764,3197,1874,2276,2743,349,446,419,30,41,35,972,1100,1125,3224,3864,4322
