City Name,Country,Region,Latitude,Longitude,Land Cover Dates T1,Land Cover Dates T2,Land Cover Dates T3,Urban Extent Population T1,Urban Extent Population T2,Urban Extent Population T3,Built-up Area Total  (ha) T1,Built-up Area Total  (ha) T2,Built-up Area Total  (ha) T3,Urban Built-up Area (ha) T1,Urban Built-up Area (ha) T2,Urban Built-up Area (ha) T3,Surburban Built-up Area (ha) T1,Surburban Built-up Area (ha) T2,Surburban Built-up Area (ha) T3,Rural Built-up Area  (ha) T1,Rural Built-up Area  (ha) T2,Rural Built-up Area  (ha) T3,Urbanized Open Space  (ha) T1,Urbanized Open Space  (ha) T2,Urbanized Open Space  (ha) T3,Urban Extent (ha) T1,Urban Extent (ha) T2,Urban Extent (ha) T3
Hindupur,India,South and Central Asia,13.838,77.488,2/1/89,3/1/00,3/1/14,56003,70224,106830,57,125,445,0,35,190,50,79,236,6,10,19,79,153,404,136,277,849
Ho Chi Minh City,Vietnam,Southeast Asia,10.83,106.713,1/1/89,12/1/99,1/1/15,2563621,3950264,10187671,5453,15057,63478,4285,11717,47604,1093,3097,14964,75,243,910,2978,6958,35913,8430,22015,99391
Holguin,Cuba,Latin America and the Caribbean,20.883,-76.263,7/1/87,5/1/01,1/1/14,200231,238531,263345,1652,2070,2157,1107,1427,1523,509,600,589,36,43,45,899,1192,1219,2551,3262,3376
"Hong Kong, Hong Kong",China,East Asia and the Pacific,22.346,114.183,11/1/89,1/1/00,10/1/13,3661992,4017763,4322119,5934,8037,9254,4643,6330,7487,1231,1646,1669,60,61,98,2316,2985,3024,8250,11022,12278
Houston,United States,Land-Rich Developed Countries,29.78,-95.386,11/1/90,9/1/00,5/1/14,2739736,3758618,5399338,116357,182480,272394,77754,142751,217995,36472,37334,51264,2131,2396,3135,91608,107148,150754,207965,289629,423148
Hyderabad,India,South and Central Asia,17.422,78.484,3/1/90,7/1/99,5/1/14,3906590,5067000,7609285,12669,26666,46168,8918,20683,36294,3487,5595,9099,265,388,776,8999,15292,26829,21668,41958,72998
Ibadan,Nigeria,Sub-Saharan Africa,7.388,3.896,12/1/84,2/1/00,12/1/13,1397391,2041756,2954967,17966,26274,36811,15774,23972,32352,2034,2129,4170,158,173,289,6297,7155,12310,24264,33429,49121
Ilheus,Brazil,Latin America and the Caribbean,-14.803,-39.045,7/1/93,5/1/01,12/1/13,88775,121000,97888,532,1250,1513,233,746,1023,256,461,468,43,42,22,340,595,570,872,1845,2083
Ipoh,Malaysia,Southeast Asia,4.59,101.077,12/1/90,3/1/03,2/1/15,409006,605174,793675,10153,18566,25310,5605,13074,20444,4218,5189,4534,330,303,332,9373,12451,13065,19526,31017,38374
Istanbul,Turkey,Western Asia and North Africa,40.981,29.065,11/1/90,6/1/02,7/1/13,8662185,12202504,13974428,28372,57759,102589,20855,47000,92509,7105,10172,9396,411,588,684,18556,29367,29017,46928,87126,131606
Jaipur,India,South and Central Asia,26.911,75.787,10/1/89,10/1/00,9/1/14,1555856,2508689,2938602,4023,12788,19218,3134,11309,14570,809,1395,4245,80,83,403,2604,5782,11172,6628,18570,30390
Jalna,India,South and Central Asia,19.851,75.878,10/1/89,10/1/00,10/1/14,186307,244109,278314,519,1153,1509,245,761,1144,248,369,341,26,23,24,487,740,869,1007,1893,2377
Jequie,Brazil,Latin America and the Caribbean,-13.862,-40.085,8/1/92,4/1/01,4/1/14,123038,131027,128045,1271,2249,2511,975,1890,2075,281,331,402,15,29,35,657,680,959,1928,2930,3470
"Jinan, Shandong",China,East Asia and the Pacific,36.682,117.02,9/1/91,9/1/00,7/1/13,1716692,2239910,3316828,19266,26315,45089,15810,20150,34839,3224,5683,9455,232,482,794,7238,11943,20999,26504,38258,66087
Jinju,Korea Rep.,East Asia and the Pacific,35.187,128.107,4/1/88,4/1/00,5/1/14,200588,154175,317194,1860,2158,13432,1366,1705,7806,454,419,5218,40,34,408,887,957,9958,2746,3115,23390
Johannesburg,South Africa,Sub-Saharan Africa,6.842,3.634,3/1/90,7/1/98,6/1/13,3148133,4726764,8000159,76333,92826,181191,52246,66200,157588,22565,24950,22225,1522,1676,1378,64462,71273,81377,140795,164099,262568
Kabul,Afghanistan,South and Central Asia,34.529,69.172,11/1/87,8/1/00,9/1/14,1176972,2347810,3536646,10712,13559,22872,8141,10912,18514,2389,2501,4071,183,146,287,6499,6909,11537,17212,20468,34409
"Kaiping, Guangdong",China,East Asia and the Pacific,22.38,112.688,4/1/90,9/1/00,11/1/14,35194,188290,191749,137,1537,2045,4,803,1196,126,682,797,7,52,51,117,1090,1183,254,2627,3227
Kairouan,Tunisia,Western Asia and North Africa,35.673,10.096,5/1/92,5/1/00,6/1/10,85809,105892,127570,905,1367,1661,703,1137,1555,188,218,102,14,12,5,460,569,384,1365,1936,2044
Kampala,Uganda,Sub-Saharan Africa,0.315,32.585,3/1/88,2/1/03,2/1/15,723017,1646980,3017000,8804,17954,30040,5668,12541,21223,2925,5071,8208,211,342,610,7688,12744,21280,16492,30698,51321
Kanpur,India,South and Central Asia,26.457,80.31,12/1/91,2/1/99,9/1/14,2101131,2521488,2795714,7970,11071,14405,6294,9265,11826,1553,1660,2374,123,145,205,4515,4901,6263,12485,15971,20667
Karachi,Pakistan,South and Central Asia,24.9,67.075,2/1/91,10/1/00,10/1/13,5736359,9973619,12787536,18058,27536,35018,16675,25475,31400,1295,1940,3360,88,120,257,4277,6591,10309,22335,34127,45327
Kaunas,Lithuania,Europe and Japan,54.903,23.925,8/1/90,9/1/00,3/1/14,402490,369085,298743,6126,6908,8090,4630,5693,6479,1421,1124,1479,76,92,132,3398,3148,4064,9524,10056,12154
Kayseri,Turkey,Western Asia and North Africa,38.724,35.48,10/1/87,6/1/00,8/1/13,131605,444740,673805,608,5155,10054,206,3220,6611,371,1818,3185,32,118,257,849,3941,7774,1458,9097,17828
Khartoum,Sudan,Western Asia and North Africa,15.552,32.532,12/1/88,4/1/00,3/1/14,1253183,1844695,5061792,12889,16955,58271,7992,12290,52682,4712,4493,5283,185,172,307,10141,10254,16026,23031,27208,74297
Kigali,Rwanda,Sub-Saharan Africa,9.927,8.88,2/1/87,7/1/99,10/1/14,211150,422776,821881,960,3937,8272,256,3105,5987,644,768,2092,60,64,193,1243,2625,5607,2203,6562,13880
Killeen,United States,Land-Rich Developed Countries,31.112,-97.732,8/1/90,5/1/00,8/1/13,93137,119748,225248,8141,10038,17686,5187,6767,12421,2715,3018,4865,239,252,400,6574,7523,12880,14716,17561,30566
Kinshasa,Congo Dem. Rep.,Sub-Saharan Africa,-4.374,15.32,8/1/94,9/1/00,7/1/13,4226053,6379816,10226183,7878,20142,33763,4550,17041,30057,3168,2935,3526,160,166,180,6764,9064,11918,14642,29206,45681
Kolkata,India,South and Central Asia,22.533,88.356,11/1/90,11/1/03,4/1/14,9934562,13706424,15123555,18048,33576,60278,11795,21902,44343,5885,10997,14788,368,677,1147,13271,26024,36590,31319,59600,96868
Kozhikode,India,South and Central Asia,11.254,75.803,2/1/91,3/1/01,2/1/14,202612,440244,1171852,217,1663,11232,31,769,5078,166,825,5710,19,69,445,318,1653,12409,535,3316,23642
Lagos,Nigeria,Sub-Saharan Africa,6.21,7.063,12/1/84,2/1/00,12/1/13,3860488,7254827,11008357,19403,38082,52788,15209,31291,42213,3924,6358,9972,270,432,603,10335,19978,29896,29738,58060,82684
Lahore,Pakistan,South and Central Asia,31.514,74.314,11/1/91,10/1/00,10/1/13,3474381,5716948,9682207,11518,14955,24775,9136,11998,20240,2225,2721,4159,158,236,376,6233,8201,12367,17751,23156,37142
Lausanne,Switzerland,Europe and Japan,46.516,6.633,4/1/87,3/1/01,8/1/15,193460,260181,306229,2501,5289,6495,1222,4017,5302,1204,1191,1107,75,81,86,2418,2719,2701,4919,8008,9196
Le Mans,France,Europe and Japan,47.989,0.199,5/1/92,8/1/99,7/1/13,173669,175640,179135,4954,5353,5974,4046,4393,4788,855,889,1098,53,71,88,2000,1988,2571,6954,7341,8545
Leon,Nicaragua,Latin America and the Caribbean,12.438,-86.878,7/1/93,4/1/00,1/1/10,135097,141815,160355,680,1199,1544,438,955,1220,221,225,290,21,19,33,556,598,711,1236,1797,2255
"Leshan, Sichuan",China,East Asia and the Pacific,29.591,103.754,7/1/90,7/1/01,8/1/14,158519,278811,524838,1061,2963,8391,646,1732,4909,380,1160,3285,35,71,196,577,1872,5680,1638,4836,14070
London,United Kingdom,Europe and Japan,51.506,-0.139,5/1/89,6/1/00,7/1/13,8520935,9735667,11197941,131495,167368,177273,108695,141363,151304,21421,24311,24261,1379,1694,1708,65860,75586,73498,197355,242954,250771
Los Angeles,United States,Land-Rich Developed Countries,33.971,-117.969,5/1/90,5/1/00,10/1/14,12355295,14091412,15138973,353941,417726,459047,314393,378971,424453,37396,36573,32733,2151,2182,1860,134324,133976,126855,488265,551702,585902
Luanda,Angola,Sub-Saharan Africa,-8.825,13.26,6/1/91,6/1/00,5/1/14,1572722,2690396,5555024,10411,17175,36891,8942,15187,31702,1346,1877,4826,123,111,363,3628,6006,14076,14038,23181,50967
Lubumbashi,Congo Dem. Rep.,Sub-Saharan Africa,-11.677,27.48,7/1/90,9/1/98,8/1/13,660736,942352,1746415,5509,8435,15865,4326,7426,14179,1121,955,1560,62,55,126,3137,3691,6234,8645,12126,22098
Madrid,Spain,Europe and Japan,40.413,-3.707,5/1/91,6/1/02,5/1/10,3641938,4337697,5256249,20632,32971,56019,16073,24629,44305,4242,7849,10928,318,493,786,11244,19580,28387,31876,52551,84407
Malatya,Turkey,Western Asia and North Africa,38.35,38.27,8/1/90,7/1/00,3/1/14,184773,299754,394722,1922,3296,5147,1105,2386,3653,756,857,1394,61,54,100,1724,2232,3397,3647,5528,8544
Malegaon,India,South and Central Asia,20.562,74.52,2/1/91,3/1/00,10/1/14,253609,311046,461737,406,634,1432,98,240,995,281,369,412,27,26,25,581,711,1094,987,1345,2526
Manchester,United Kingdom,Europe and Japan,53.47,-2.474,5/1/89,9/1/02,10/1/10,2452873,2448232,2585614,43129,49554,51040,32897,39970,41675,9667,9087,8841,565,497,525,25656,27125,27656,68785,76679,78696
Manila,Philippines,Southeast Asia,14.579,121.028,12/1/90,4/1/00,2/1/14,9031508,13252150,19485398,35669,56296,70334,27210,45972,53883,7844,9615,15298,615,708,1154,22318,27125,40077,57987,83421,110411
Marrakesh,Morocco,Western Asia and North Africa,31.636,-8.021,3/1/88,6/1/02,8/1/14,371585,514030,770422,3824,5447,9999,3125,4735,8252,666,676,1622,33,37,125,1340,1813,4303,5164,7260,14302
Medan,Indonesia,Southeast Asia,3.596,98.651,6/1/89,6/1/01,6/1/13,1214040,2863706,3771804,8062,21439,39096,6012,12658,28464,1877,8132,9933,174,649,698,5122,17449,22461,13184,38888,61557
Mexico City,Mexico,Latin America and the Caribbean,19.446,-99.123,3/1/90,2/1/00,4/1/14,9781971,12514239,17765121,70948,99113,161821,60525,87726,144222,9765,10612,16363,658,775,1236,32514,37363,48198,103462,136477,210020
Milan,Italy,Europe and Japan,45.608,9.222,9/1/88,8/1/03,8/1/13,3506838,4971193,6402051,51115,102617,178364,34810,67959,136814,15125,32225,38761,1180,2434,2790,37302,76384,98813,88417,179001,277177
Minneapolis,United States,Land-Rich Developed Countries,44.959,-93.256,5/1/90,4/1/00,10/1/14,1899162,2281581,2626920,83673,117302,142874,52233,81360,98968,29610,33676,40846,1830,2265,3060,71915,89218,108383,155588,206520,251256
Modesto,United States,Land-Rich Developed Countries,37.649,-120.993,7/1/92,7/1/00,8/1/14,232879,334840,458146,8770,14853,22728,7053,12526,18630,1640,2118,3773,77,209,326,5167,6997,10247,13937,21850,32976
Montreal,Canada,Land-Rich Developed Countries,45.534,-73.658,8/1/90,9/1/00,8/1/13,2719909,2870230,3317850,68677,74831,89185,61308,67097,81093,6970,7257,7606,399,477,486,21908,22730,23814,90585,97561,113000
Moscow,Russia,Europe and Japan,55.743,37.645,5/1/91,5/1/01,9/1/14,10377113,12726303,15220986,108909,160019,223436,79370,120685,160937,27560,36430,57829,1979,2904,4669,67361,87548,134160,176270,247567,357596
Mumbai,India,South and Central Asia,19.115,72.913,12/1/91,12/1/01,10/1/14,11786684,14344154,19601845,27806,33417,53135,24417,29883,45590,3193,3318,6957,196,216,588,8875,9583,17398,36681,43000,70533
Myeik,Myanmar,Southeast Asia,12.448,98.618,2/1/91,12/1/03,1/1/14,109650,116528,216734,321,430,1079,218,297,553,96,126,495,7,8,31,164,217,861,485,647,1940
Nakuru,Kenya,Sub-Saharan Africa,-0.294,36.058,3/1/89,2/1/00,2/1/14,122762,189557,326160,1031,1494,4729,703,1132,2762,296,329,1833,32,32,133,798,934,4395,1829,2427,9124
Ndola,Zambia,Sub-Saharan Africa,-12.981,28.634,6/1/89,5/1/02,6/1/14,275484,338145,443327,2355,3481,4738,1138,2175,3702,1148,1241,988,68,65,48,2283,3067,3048,4638,6547,7786
New York,United States,Land-Rich Developed Countries,40.842,-73.798,5/1/91,10/1/00,5/1/11,16235289,17955548,18412093,509235,720862,747852,445870,638565,666185,59541,76815,76475,3824,5483,5193,179640,201855,203251,688875,922717,951103
Nikolaev,Ukraine,Europe and Japan,46.974,32.029,5/1/89,9/1/00,8/1/13,351234,347486,334691,5166,6512,6566,4324,5319,5375,804,1117,1115,38,77,76,2025,2564,2583,7191,9077,9149
Okayama,Japan,Europe and Japan,34.657,133.949,5/1/90,5/1/00,5/1/14,1156304,1196567,1277186,36681,40169,45925,24940,28959,33465,11052,10550,11756,689,660,705,24311,24133,26516,60992,64302,72442
Oldenburg,Germany,Europe and Japan,53.148,8.207,8/1/90,8/1/99,10/1/13,129512,145877,158329,2026,2732,3781,557,1201,2546,1383,1424,1167,86,107,68,2652,3064,3120,4678,5796,6900
Osaka,Japan,Europe and Japan,34.718,135.389,5/1/89,10/1/01,3/1/14,8505622,8674622,8709527,72025,87895,95077,62911,81539,89230,8675,5978,5547,439,378,300,23403,19868,18681,95428,107763,113758
Oyo,Nigeria,Sub-Saharan Africa,6.818,3.916,12/1/90,2/1/00,2/1/14,145717,250282,452477,1231,2123,3704,835,1704,2776,368,402,865,27,18,62,755,966,2229,1986,3089,5933
Palembang,Indonesia,Southeast Asia,-2.958,104.736,4/1/90,7/1/01,6/1/13,1195955,1454196,1721220,4735,15089,20960,2813,10980,16507,1815,3866,4168,106,243,284,3875,9581,10788,8609,24670,31748
Palermo,Italy,Europe and Japan,38.135,13.33,7/1/87,5/1/00,7/1/13,696750,702462,822940,5762,6918,13249,4217,5020,9888,1460,1785,3127,84,113,234,3499,4184,7639,9261,11102,20888
Palmas,Brazil,Latin America and the Caribbean,-10.189,-48.33,4/1/90,6/1/00,8/1/13,6441,88195,154873,726,3215,4228,309,2553,3510,396,619,674,21,43,45,691,1595,1944,1417,4810,6172
Parbhani,India,South and Central Asia,19.28,76.765,3/1/91,10/1/02,12/1/14,267978,324330,382635,1135,1694,1868,737,1370,1550,366,299,297,33,25,22,832,742,785,1967,2436,2653
Parepare,Indonesia,Southeast Asia,119.633,-4.023,8/1/94,8/1/00,7/1/14,70610,77220,104563,302,426,662,170,224,349,115,190,291,17,12,23,186,250,467,488,676,1130
Paris,France,Europe and Japan,48.863,2.315,5/1/87,8/1/00,5/1/14,9265734,10009893,11114026,127790,158629,198626,101932,131083,166725,24058,25609,29219,1801,1937,2682,69420,72727,79222,197210,231356,277848
Pematangtiantar,Indonesia,Southeast Asia,2.962,99.074,7/1/94,7/1/01,2/1/14,233506,214274,219790,1090,1369,1650,799,1025,1296,262,319,322,29,25,32,651,779,920,1741,2148,2571
Philadelphia,United States,Land-Rich Developed Countries,40.015,-75.168,6/1/90,5/1/00,4/1/14,4760536,5329830,5852880,163084,223016,298214,111804,155082,222643,48219,63623,70673,3061,4311,4897,123316,166522,193646,286400,389538,491860
"Pingxiang, Jiangxi",China,East Asia and the Pacific,27.643,113.851,2/1/89,12/1/99,9/1/13,192628,475926,757573,2746,8944,15265,1017,4295,7894,1582,4202,6755,147,446,616,3090,8915,15550,5837,17859,30815
Pokhara,Nepal,South and Central Asia,28.22,83.98,4/1/89,1/1/00,5/1/13,80223,138941,272830,935,1160,1630,494,787,1213,404,351,378,37,22,40,807,862,1036,1741,2022,2667
Port Elizabeth,South Africa,Sub-Saharan Africa,13.052,5.23,6/1/90,7/1/01,7/1/13,608113,645910,952747,10349,12137,18141,7387,9534,14668,2806,2482,3443,156,121,30,6378,6436,8910,16727,18573,27051
"Portland, OR",United States,Land-Rich Developed Countries,45.52,-122.666,9/1/90,9/1/00,8/1/14,1131570,1512404,1904409,48909,67673,88455,34370,54167,75185,13719,12786,12204,820,720,1066,35195,38166,40068,84104,105838,128523
Pune,India,South and Central Asia,18.524,73.864,2/1/91,4/1/01,1/1/11,1752854,3676767,5509160,2623,13480,32338,1029,9406,27021,1485,3812,4945,109,262,372,2804,8585,13606,5427,22065,45944
Pyongyang,Korea Dem. Rep.,East Asia and the Pacific,39.045,125.767,3/1/90,5/1/00,3/1/14,1524988,1674292,1996172,8695,11242,11463,6567,8498,8642,1942,2538,2601,186,205,220,5029,6292,6522,13724,17534,17985
"Qingdao, Shandong",China,East Asia and the Pacific,36.22,120.403,5/1/90,1/1/00,8/1/13,853484,1540789,4501931,4813,11752,71528,1326,6829,58008,3231,4553,12591,257,370,928,5941,10987,30971,10754,22739,102499
Qom,Iran,South and Central Asia,34.64,50.876,1/1/90,7/1/01,5/1/10,597132,847703,1071783,3104,5124,8404,2455,3888,6777,599,1142,1504,50,94,123,1626,2407,3216,4730,7531,11620
Quito,Ecuador,Latin America and the Caribbean,-0.135,-78.443,6/1/88,12/1/00,6/1/13,854477,1358278,2173697,5585,9792,22665,4220,7412,16057,1267,2182,6178,98,198,430,3745,5897,15643,9331,15689,38308
Rajshahi,Bangladesh,South and Central Asia,24.367,88.6,5/1/90,11/1/00,1/1/10,26943,320085,517053,36,1401,3234,0,619,1668,31,727,1437,5,55,129,67,1358,2775,103,2759,6009
Raleigh,United States,Land-Rich Developed Countries,35.807,-78.675,10/1/90,11/1/00,5/1/13,262552,702158,1188416,12143,40683,78270,5210,19741,41155,6543,19577,34480,390,1366,2634,14012,43161,80658,26155,83845,158928
Rawang,Malaysia,Southeast Asia,3.33,101.577,6/1/89,9/1/01,3/1/14,13532,43521,236967,243,968,4876,0,403,2610,221,538,2130,21,26,136,338,1003,4344,581,1971,9220
Reynosa,Mexico,Latin America and the Caribbean,26.063,-98.302,7/1/91,6/1/00,7/1/13,197217,286782,479078,7489,8640,12028,5858,7177,10006,1537,1367,1907,93,96,116,3317,3321,4356,10806,11961,16384
Ribeirao Preto,Brazil,Latin America and the Caribbean,-21.172,-47.798,12/1/90,3/1/01,3/1/14,372764,468285,607350,7365,8937,10917,6713,7925,9385,609,944,1418,43,69,114,2208,2994,4127,9573,11931,15044
Riyadh,Saudi Arabia,Western Asia and North Africa,24.686,46.742,8/1/90,8/1/00,8/1/13,2210740,3311356,5552240,30305,45496,95861,24251,37741,84857,5631,7255,10778,424,500,226,15582,21315,31945,45887,66811,127805
Rovno,Ukraine,Europe and Japan,50.624,26.248,5/1/90,5/1/00,5/1/14,207139,235250,286691,1954,2838,6201,1463,2271,4127,460,540,1917,30,27,157,1160,1145,3277,3114,3983,9477
Saidpur,Bangladesh,South and Central Asia,25.802,88.881,11/1/90,11/1/01,4/1/14,104935,102621,111029,267,323,871,144,200,572,112,112,278,11,10,21,225,246,586,492,569,1457
Saint Petersburg,Russia,Europe and Japan,59.911,30.348,7/1/90,5/1/00,5/1/14,3871640,3855458,5070516,36039,46787,68500,31360,39026,54051,4437,7262,13530,243,500,920,13243,18885,32235,49282,65672,100735
San Salvador,El Salvador,Latin America and the Caribbean,13.7,-89.201,3/1/91,10/1/99,1/1/14,1242224,1293520,1693748,8216,10501,16889,6677,8876,14155,1429,1510,2535,110,115,199,4312,4592,6970,12529,15093,23859
